内饰评分,动力评分,外观评分,当前油耗,性价比评分,操控评分,油耗评分,空间评分,综合评分,舒适评分,裸车价格,购入时间,购车地点,车型
5,5,5,,5,5,5,5,5.00,5,,,,2017款宝马3系320Li xDrive 时尚型
5,5,5,,5,5,5,5,5.00,5,,,,2017款宝马3系320Li xDrive 时尚型
4,5,5,,5,5,5,5,4.88,5,,,,2017款宝马3系320Li xDrive 时尚型
4,5,5,,5,5,5,5,4.88,5,,,,2017款宝马3系320i M运动型
5,5,5,,5,5,5,5,5.00,5,,,,2017款宝马3系320i M运动型
4,5,5,,4,5,5,5,4.75,5,,,,2017款宝马3系320i M运动型
5,5,5,,5,5,5,5,5.00,5,,,,2017款宝马3系320i M运动型
5,5,5,,5,5,5,5,5.00,5,,,,2017款宝马3系320i M运动型
5,5,5,,5,5,4,5,4.88,5,,,,2016款宝马3系320Li 进取型
5,5,5,,5,5,4,5,4.88,5,,,,2016款宝马3系320Li 进取型
5,5,5,,5,5,4,5,4.75,4,,,,2016款宝马3系320Li 进取型
5,3,5,,4,3,4,4,4.13,5,,,,2016款宝马3系320Li 进取型
4,4,5,,4,5,5,4,4.25,3,,,,2016款宝马3系320Li 进取型
4,5,5,,5,5,5,5,4.75,4,,,,2016款宝马3系320Li 进取型
5,4,5,,5,4,5,4,4.63,5,,,,2016款宝马3系320Li 进取型
4,5,5,,5,5,5,5,4.75,4,,,,2016款宝马3系320Li 进取型
4,5,5,,5,5,5,4,4.63,4,,,,2016款宝马3系320Li 进取型
5,5,5,,5,5,5,4,4.75,4,,,,2016款宝马3系320Li 进取型
5,5,5,,5,4,5,5,4.75,4,,,,2016款宝马3系320Li 进取型
4,5,5,,5,5,5,5,4.75,4,,,,2016款宝马3系320Li 进取型
5,5,5,,5,5,4,4,4.75,5,,,,2016款宝马3系320Li 进取型
4,5,5,,5,5,5,5,4.88,5,,,,2016款宝马3系320Li 进取型
4,5,5,,5,5,4,4,4.50,4,,,,2016款宝马3系335Li 豪华设计套装
3,5,5,,4,5,4,4,4.25,4,,,,2016款宝马3系335Li 豪华设计套装
4,5,5,,5,5,4,4,4.38,3,,,,2016款宝马3系335Li 豪华设计套装
4,5,5,,5,5,4,4,4.50,4,,,,2016款宝马3系335Li 豪华设计套装
4,5,5,,4,5,4,5,4.63,5,,,,2016款宝马3系335Li 豪华设计套装
4,5,5,,5,5,5,5,4.88,5,,,,2016款宝马3系335Li 豪华设计套装
4,5,5,,5,5,4,5,4.63,4,,,,2016款宝马3系335Li 豪华设计套装
5,5,5,,5,5,2,5,4.50,4,,,,2016款宝马3系335Li 豪华设计套装
4,5,5,,5,5,2,5,4.38,4,,,,2016款宝马3系335Li 豪华设计套装
3,4,5,,3,5,5,3,3.88,3,,,,2015款宝马3系316i 进取型
3,4,5,,5,5,4,5,4.38,4,,,,2014款宝马3系320Li 豪华设计套装
4,4,5,,5,5,4,4,4.25,3,,,,2011款宝马3系320i 豪华版
4,5,5,,5,5,4,5,4.63,4,,,,2016款宝马3系320Li 时尚型
4,5,5,,5,5,5,5,4.75,4,,,,2014款宝马3系320Li 时尚型
5,5,5,,5,5,5,5,5.00,5,,,,2015款宝马3系335Li 风尚设计套装
5,5,5,,5,5,5,5,5.00,5,,,,2013款宝马3系320i 时尚版
3,4,4,,3,4,4,3,3.50,3,,,,2014款宝马3系328Li 时尚型
2,4,3,,3,5,4,4,3.38,2,,,,2016款宝马3系320Li 时尚型
4,4,5,,4,5,5,5,4.50,4,,,,2015款宝马3系320Li 时尚型
3,4,5,,3,5,4,5,4.13,4,,,,2013款宝马3系320Li 风尚版
4,5,5,,4,5,5,5,4.63,4,,,,2016款宝马3系320Li 豪华设计套装
3,4,4,,4,4,3,5,3.75,3,,,,2015款宝马3系超悦版 320Li 时尚型
5,5,5,,5,4,5,4,4.63,4,,,,2018款奥迪A4L30周年版 40 TFSI 进取型
5,4,5,,5,4,5,5,4.63,4,,,,2017款奥迪A4LPlus 40 TFSI 时尚型
5,5,4,,5,5,5,5,4.88,5,,,,2018款奥迪A4L30周年版 40 TFSI 进取型
5,5,5,,4,5,5,5,4.88,5,,,,2012款奥迪A4L2.0TFSI CVT技术版
5,5,5,,5,5,3,4,4.63,5,,,,2010款奥迪A4L1.8TFSI CVT舒适版
5,5,5,,5,5,5,5,5.00,5,,,,2016款奥迪A4L35 TFSI S line舒适型 典藏版
5,4,5,,4,4,5,5,4.63,5,,,,2013款奥迪A4L35 TFSI CVT标准版
3,4,4,,4,4,5,5,4.13,4,,,,2012款奥迪A4L2.0TFSI CVT舒适版
5,5,5,,5,5,4,5,4.88,5,,,,2016款奥迪A4L35 TFSI 自动标准型 典藏版
5,5,5,,5,5,5,4,4.88,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,4,4,4,4.63,5,,,,2011款奥迪A4L2.0TFSI CVT标准版
4,5,5,,5,4,4,4,4.38,4,,,,2015款奥迪A4L45 TFSI quattro个性运动版
3,5,4,,4,4,3,4,3.88,4,,,,2015款奥迪A4L45 TFSI quattro个性运动版
4,4,4,,4,3,5,4,4.00,4,,,,2013款奥迪A4L35 TFSI CVT标准版
5,5,5,,5,5,4,4,4.63,4,,,,2013款奥迪A4L35 TFSI CVT标准版
5,5,5,,4,4,5,5,4.75,5,,,,2012款奥迪A4L2.0TFSI CVT舒适版
5,5,5,,5,4,5,4,4.75,5,,,,2018款奥迪A4L30周年版 45 TFSI quattro运动型
4,5,5,,5,4,5,5,4.75,5,,,,2018款奥迪A4L30周年版 40 TFSI 进取型
5,5,5,,4,5,5,5,4.63,3,,,,2018款奥迪A4L30周年版 40 TFSI 进取型
4,4,5,,5,4,5,5,4.50,4,,,,2018款奥迪A4L30周年版 40 TFSI 进取型
3,5,4,,5,4,4,5,4.13,3,,,,2018款奥迪A4L30周年版 40 TFSI 进取型
4,4,5,,4,4,5,5,4.38,4,,,,2018款奥迪A4L30周年版 40 TFSI 进取型
5,5,5,,5,4,5,5,4.88,5,,,,2018款奥迪A4L30周年版 30 TFSI 进取型
5,5,5,,5,5,5,5,4.88,4,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
5,5,5,,5,4,5,5,4.88,5,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
5,5,5,,5,4,2,5,4.50,5,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
3,5,5,,3,5,5,4,4.25,4,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
5,5,5,,5,5,4,5,4.63,3,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
5,5,5,,5,5,5,5,5.00,5,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
4,5,5,,5,5,5,5,4.88,5,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
5,5,5,,5,5,4,5,4.75,4,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
4,5,4,,4,5,5,4,4.38,4,,,,2018款奥迪A4L30周年版 45 TFSI quattro个性运动版
5,5,5,,4,4,5,5,4.63,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,4,5,5,4.75,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,4,5,,4,4,4,4,4.25,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,4,5,5,5,4.63,3,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,5,4,5,4.88,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,4,5,,4,4,4,5,4.25,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,4,5,,5,3,4,5,4.50,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,4,4,5,4,4.50,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,3,5,5,5,4.75,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,4,4,5,4.63,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,4,4,5,5,4.63,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,5,5,5,5.00,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
3,4,4,,5,4,5,4,4.13,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,4,5,,5,4,4,4,4.00,2,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,5,5,5,5.00,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
3,1,3,,3,3,4,3,2.75,2,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,4,5,,4,4,4,5,4.38,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,4,5,,4,4,4,4,4.13,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,5,5,,5,5,4,4,4.50,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,4,5,,5,4,5,4,4.38,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,3,5,,5,3,5,5,4.50,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,3,5,4,4.50,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,5,5,4,4.75,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,4,5,,5,5,4,5,4.75,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,2,2,5,3,3.63,2,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,5,5,,4,5,4,5,4.50,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,5,5,5,5.00,5,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,4,5,,4,4,4,4,4.13,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
5,5,5,,5,5,5,4,4.75,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,5,5,,5,4,4,5,4.50,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
4,5,5,,4,5,5,5,4.63,4,,,,2018款奥迪A4L30周年版 40 TFSI 时尚型
